User,Top_1_Similar_Model,Top_1_Score,Top_2_Similar_Model,Top_2_Score,Top_3_Similar_Model,Top_3_Score,Top_4_Similar_Model,Top_4_Score,Top_5_Similar_Model,Top_5_Score
U01,U14,0.998680381715779,U04,0.9979849337963314,U09,0.9978267307633306,U03,0.9974889214687556,U13,0.9974472404951993
U02,U01,0.996668922946223,U12,0.9959245809579692,U14,0.9952647149002882,U09,0.9947436048448105,U05,0.9944644224043538
U03,U01,0.9974889214687556,U05,0.9972165457715438,U09,0.997031336685843,U04,0.996603813623362,U13,0.9959966694658035
U04,U06,0.9982706953464563,U01,0.9979849337963314,U14,0.9970652428009859,U03,0.996603813623362,U10,0.9945677180892846
U05,U03,0.9972165457715438,U01,0.9957890457907802,U02,0.9944644224043538,U12,0.9939901140050245,U04,0.9936670176957061
U06,U04,0.9982706953464563,U08,0.9973445483113776,U14,0.9971340842011274,U01,0.9968296146703486,U03,0.9956331322266426
U07,U11,0.9960872994221128,U14,0.9960321892830704,U09,0.9958894955251173,U08,0.9957223070082492,U12,0.9948797036048738
U08,U06,0.9973445483113776,U14,0.9965478739471687,U07,0.9957223070082492,U09,0.9952457775285026,U10,0.994833824798713
U09,U11,0.9987589202497131,U13,0.9985522548552385,U01,0.9978267307633306,U03,0.997031336685843,U14,0.9969936792598586
U10,U03,0.9951191936877871,U01,0.9950538915850081,U14,0.9949797670202073,U08,0.994833824798713,U04,0.9945677180892846
U11,U09,0.9987589202497131,U13,0.9969082731741434,U01,0.996613342267652,U12,0.9963550830509239,U14,0.9962014661080195
U12,U09,0.9969063779900844,U01,0.9964574848459871,U11,0.9963550830509239,U02,0.9959245809579692,U06,0.9953730917352918
U13,U09,0.9985522548552385,U01,0.9974472404951993,U11,0.9969082731741434,U14,0.9960973296113979,U03,0.9959966694658035
U14,U01,0.998680381715779,U06,0.9971340842011274,U04,0.9970652428009859,U09,0.9969936792598586,U08,0.9965478739471687
U21,U31,0.9755797369325782,U27,0.9617865834216422,U02,0.9601720950527638,U28,0.9600611265921987,U22,0.9591626256884495
U22,U14,0.9830943675909334,U04,0.9828766857125657,U02,0.9810446752559806,U31,0.9801759328742999,U01,0.9798520605322765
U23,U26,0.9871733703702047,U24,0.9824873054681263,U27,0.9818442113172693,U30,0.9694693316423807,U28,0.9632361083614464
U24,U30,0.9887337391849005,U26,0.9884527621828043,U27,0.9850286565493989,U23,0.9824873054681263,U28,0.9761479815940197
U25,U22,0.9627275680738209,U29,0.9561865572285506,U28,0.9492789041518054,U31,0.9424173282622279,U27,0.9392707722167613
U26,U24,0.9884527621828043,U23,0.9871733703702047,U27,0.9847311482764726,U30,0.9778656745118477,U28,0.9707362428433939
U27,U24,0.9850286565493989,U26,0.9847311482764726,U23,0.9818442113172693,U29,0.9800342288708263,U28,0.9727693010562815
U28,U02,0.9787875963146893,U24,0.9761479815940197,U30,0.9757277133271322,U05,0.9754949971136525,U27,0.9727693010562815
U29,U27,0.9800342288708263,U31,0.9798171587197059,U22,0.9754668503756704,U28,0.9655154990165612,U26,0.9649199653928169
U30,U24,0.9887337391849005,U02,0.9872925433071179,U26,0.9778656745118477,U12,0.9771693744472748,U22,0.9760858964113703
U31,U22,0.9801759328742999,U29,0.9798171587197059,U21,0.9755797369325782,U04,0.9608930907479947,U30,0.9603418876385185
